id,chr,name,biotype,length
ENSG00000000003,X,TSPAN6,protein_coding,4536
ENSG00000000005,X,TNMD,protein_coding,1476
ENSG00000000419,20,DPM1,protein_coding,1207
ENSG00000000457,1,SCYL3,protein_coding,6883
ENSG00000000460,1,C1orf112,protein_coding,5970
ENSG00000000938,1,FGR,protein_coding,3382
ENSG00000000971,1,CFH,protein_coding,7980
ENSG00000001036,6,FUCA2,protein_coding,2822
ENSG00000001084,6,GCLC,protein_coding,8618
ENSG00000001167,6,NFYA,protein_coding,3811
ENSG00000001460,1,STPG1,protein_coding,8511
ENSG00000001461,1,NIPAL3,protein_coding,9396
ENSG00000001497,X,LAS1L,protein_coding,12555
ENSG00000001561,6,ENPP4,protein_coding,4644
ENSG00000001617,3,SEMA3F,protein_coding,4826
ENSG00000001626,7,CFTR,protein_coding,9942
ENSG00000001629,7,ANKIB1,protein_coding,7389
ENSG00000001630,7,CYP51A1,protein_coding,3529
ENSG00000001631,7,KRIT1,protein_coding,6204
ENSG00000002016,12,RAD52,protein_coding,4503
ENSG00000002330,11,BAD,protein_coding,1708
ENSG00000002549,4,LAP3,protein_coding,3779
ENSG00000002586,X,CD99,protein_coding,4858
ENSG00000002587,4,HS3ST1,protein_coding,7435
ENSG00000002726,7,AOC1,protein_coding,3786
ENSG00000002745,7,WNT16,protein_coding,3264
ENSG00000002746,7,HECW1,protein_coding,13935
ENSG00000002822,7,MAD1L1,protein_coding,6955
ENSG00000002834,17,LASP1,protein_coding,7061
ENSG00000002919,17,SNX11,protein_coding,4133
ENSG00000002933,7,TMEM176A,protein_coding,3477
ENSG00000003056,12,M6PR,protein_coding,3585
ENSG00000003096,X,KLHL13,protein_coding,6983
ENSG00000003137,2,CYP26B1,protein_coding,4839
ENSG00000003147,7,ICA1,protein_coding,4883
ENSG00000003249,16,DBNDD1,protein_coding,4462
ENSG00000003393,2,ALS2,protein_coding,33513
ENSG00000003400,2,CASP10,protein_coding,7581
ENSG00000003402,2,CFLAR,protein_coding,22479
ENSG00000003436,2,TFPI,protein_coding,11714
ENSG00000003509,2,NDUFAF7,protein_coding,3651
ENSG00000003756,3,RBM5,protein_coding,10357
ENSG00000003987,8,MTMR7,protein_coding,6928
ENSG00000003989,8,SLC7A2,protein_coding,7905
ENSG00000004059,7,ARF5,protein_coding,1825
ENSG00000004139,17,SARM1,protein_coding,11105
ENSG00000004142,17,POLDIP2,protein_coding,2670
ENSG00000004399,3,PLXND1,protein_coding,9557
ENSG00000004455,1,AK2,protein_coding,9625
ENSG00000004468,4,CD38,protein_coding,6857
ENSG00000004478,12,FKBP4,protein_coding,5163
ENSG00000004487,1,KDM1A,protein_coding,5440
ENSG00000004534,3,RBM6,protein_coding,7299
ENSG00000004660,17,CAMKK1,protein_coding,7433
ENSG00000004700,12,RECQL,protein_coding,3779
ENSG00000004766,7,VPS50,protein_coding,9559
ENSG00000004776,19,HSPB6,protein_coding,1724
ENSG00000004777,19,ARHGAP33,protein_coding,5260
ENSG00000004779,16,NDUFAB1,protein_coding,1548
ENSG00000004799,7,PDK4,protein_coding,4544
ENSG00000004809,6,SLC22A16,protein_coding,3907
ENSG00000004838,3,ZMYND10,protein_coding,2889
ENSG00000004846,7,ABCB5,protein_coding,9257
ENSG00000004848,X,ARX,protein_coding,3114
ENSG00000004864,7,SLC25A13,protein_coding,3710
ENSG00000004866,7,ST7,protein_coding,6526
ENSG00000004897,17,CDC27,protein_coding,6824
ENSG00000004939,17,SLC4A1,protein_coding,5125
ENSG00000004948,7,CALCR,protein_coding,4222
ENSG00000004961,X,HCCS,protein_coding,2343
ENSG00000004975,17,DVL2,protein_coding,5321
ENSG00000005001,16,PRSS22,protein_coding,2384
ENSG00000005007,19,UPF1,protein_coding,8573
ENSG00000005020,7,SKAP2,protein_coding,5361
ENSG00000005022,X,SLC25A5,protein_coding,1555
ENSG00000005059,4,MCUB,protein_coding,3555
ENSG00000005073,7,HOXA11,protein_coding,2669
ENSG00000005075,7,POLR2J,protein_coding,1355
ENSG00000005100,17,DHX33,protein_coding,5789
ENSG00000005102,17,MEOX1,protein_coding,2674
ENSG00000005108,7,THSD7A,protein_coding,10921
ENSG00000005156,17,LIG3,protein_coding,12901
ENSG00000005175,12,RPAP3,protein_coding,5350
ENSG00000005187,16,ACSM3,protein_coding,7510
ENSG00000005189,16,REXO5,protein_coding,4111
ENSG00000005194,16,CIAPIN1,protein_coding,3383
ENSG00000005206,19,SPPL2B,protein_coding,7419
ENSG00000005238,9,FAM214B,protein_coding,6375
ENSG00000005243,17,COPZ2,protein_coding,1866
ENSG00000005249,7,PRKAR2B,protein_coding,4262
ENSG00000005302,X,MSL3,protein_coding,9780
ENSG00000005339,16,CREBBP,protein_coding,15479
ENSG00000005379,17,TSPOAP1,protein_coding,11389
